"province","city"
"gyeonggi","incheon"
"gyeonggi","seoul"
"gyeonggi","gyeonggi"
"gangwon","gangwon"
"gyeongsang","gyeongbuk"
"gyeongsang","daegu"
"gyeongsang","gyeongnam"
"gyeongsang","busan"
"gyeongsang","ulsan"
"chungcheong","chungbuk"
"chungcheong","sejong"
"chungcheong","daejeon"
"chungcheong","chungnam"
"jeolla","jeonbuk"
"jeolla","gwangju"
"jeolla","jeonnam"
"jeolla","jeju"
