"date","region","Qom","Tehran","Mazandaran","Alborz","Semnan","Golestan","Qazvin","Esfahan","Fars","Hormozgan","Kohgiluyeh and Buyer Ahmad","Chahar Mahall and Bakhtiari","Bushehr","Gilan","Ardebil","East Azarbaijan","West Azarbaijan","Kordestan","Zanjan","Markazi","Hamadan","Khuzestan","Kermanshah","Lorestan","Ilam","Razavi Khorasan","Sistan and Baluchestan","Yazd","South Khorasan","Kerman","North Khorasan"
2020-03-16,"Region 2",NA,NA,NA,NA,NA,NA,NA,118,43,16,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,30,35,31,31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,53,16,0,2,NA,NA,NA,NA,NA,NA
2020-03-16,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,51,7,13,45
2020-03-17,"Region 1",29,273,59,116,33,30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,"Region 2",NA,NA,NA,NA,NA,NA,NA,75,31,6,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,19,78,34,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,6,25,14,35,7,NA,NA,NA,NA,NA,NA
2020-03-17,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,11,49,12,19,3
2020-03-18,"Region 1",22,213,61,76,60,20,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,"Region 2",NA,NA,NA,NA,NA,NA,NA,162,60,12,13,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,10,84,42,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13,28,7,39,10,NA,NA,NA,NA,NA,NA
2020-03-18,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,6,45,21,11,0
2020-03-19,"Region 1",31,137,58,61,16,9,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,"Region 2",NA,NA,NA,NA,NA,NA,NA,108,21,5,15,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,16,58,26,11,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,3,22,23,37,8,NA,NA,NA,NA,NA,NA
2020-03-19,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,18,69,5,14,21
2020-03-20,"Region 1",36,220,84,95,52,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,"Region 2",NA,NA,NA,NA,NA,NA,NA,145,50,17,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,35,55,27,15,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5,10,22,9,20,NA,NA,NA,NA,NA,NA
2020-03-20,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,8,49,18,12,17
2020-03-21,"Region 1",20,232,28,55,0,6,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,"Region 2",NA,NA,NA,NA,NA,NA,NA,101,22,0,12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,6,72,14,7,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,31,27,34,18,NA,NA,NA,NA,NA,NA
2020-03-21,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,5,52,0,8,1
2020-03-22,"Region 1",17,249,36,60,0,10,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,"Region 2",NA,NA,NA,NA,NA,NA,NA,87,26,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,"Region 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,19,57,28,16,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,"Region 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,7,22,19,33,17,NA,NA,NA,NA,NA,NA
2020-03-22,"Region 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,15,84,15,8,26
