"region","sub_region"
"North-West","VDA"
"North-West","LIG"
"North-West","PIE"
"North-West","LOM"
"North-East","VEN"
"North-East","TN"
"North-East","BZ"
"North-East","FVG"
"North-East","EMR"
"Center","MAR"
"Center","TOS"
"Center","UMB"
"Center","LAZ"
"South","ABR"
"South","MOL"
"South","CAM"
"South","BAS"
"South","PUG"
"South","CAL"
"Islands","SIC"
"Islands","SAR"
